date,horizon_ms,trigger_count,valid_count,unavailable_count,favorable,unchanged,adverse,favorable_pct,unchanged_pct,adverse_pct,mean_signed_markout_points,nonexact_matches
2026-07-10,100,4701,4701,0,1769,2760,172,37.63029142735588,58.71091257179324,3.6587960008508826,0.07344182088917252,0
2026-07-10,250,4701,4701,0,1963,2419,319,41.75707296319932,51.457136779408636,6.785790257392044,0.08498191874069347,0
2026-07-10,500,4701,4701,0,2074,2103,524,44.11827270793448,44.73516273133376,11.14656456073176,0.08825249946819826,0
2026-07-10,1000,4701,4701,0,2128,1775,798,45.26696447564348,37.75792384599021,16.975111678366304,0.07934482025101042,0
2026-07-10,5000,4701,4700,1,2355,958,1387,50.1063829787234,20.382978723404257,29.51063829787234,0.10545212765957447,0
